Lyricist,composer ,Sentiment_Numeric
 زياد رحباني,زياد رحبانى,1.0
الأخوين رحباني,زياد رحبانى,1.0
زكي ناصيف,زكى ناصيف,1.0
جبران خليل جبران,نجيب حنكش,1.0
تراث,تراث,1.0
بشارة الخوري,الاخوين رحبانى,1.0
شفيق جدايل,الاخوين رحبانى,1.0
بديع خيري,سيد درويش,1.0
الأخوين رحباني,حليم الرومى,1.0
الأخوين رحباني,بيغى لى,1.0
ابو سلمى,الاخوين رحبانى,1.0
سعيد عقل,الاخوين رحبانى,1.0
الأخوين رحباني,الياس رحبانى,0.0
 سعيد عقل,الاخوين رحبانى,0.0
قيس بن الملوح,محمد محسن,0.0
الأخوين رحباني,الاخوين رحبانى,-0.18840579710144928
زياد الرحباني,زياد الرحبانى,-0.25
ميشال طراد,الاخوين رحبانى,-1.0
فيلمون وهبه,الاخوين رحبانى,-1.0
جبران خليل جبران,زياد رحبانى,-1.0
زياد رحباني,زياد رحبانى,-1.0
رفيق خوري,الاخوين رحبانى,-1.0
الأخوين رحباني,فيلمون وهبه,-1.0
يونس القاضي,سيد درويش,-1.0
